"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2022","7,009.70","6,964.50","7,015.20","6,964.50","784.53M","0.65%"
"09/14/2022","6,828.60","7,008.20","7,008.20","6,808.60","804.73M","-2.58%"
"09/15/2022","6,842.90","6,828.60","6,878.10","6,828.60","942.02M","0.21%"
"09/16/2022","6,739.10","6,842.90","6,842.90","6,736.30","1.74B","-1.52%"
"09/19/2022","6,719.90","6,739.10","6,753.90","6,714.70","767.54M","-0.28%"
"09/20/2022","6,806.40","6,719.90","6,808.30","6,719.90","667.56M","1.29%"
"09/21/2022","6,700.20","6,806.40","6,806.40","6,695.00","832.36M","-1.56%"
"09/23/2022","6,574.70","6,700.20","6,709.00","6,544.90","908.23M","-1.87%"
"09/26/2022","6,469.40","6,574.70","6,574.70","6,435.60","1.09B","-1.60%"
"09/27/2022","6,496.20","6,469.40","6,509.50","6,469.40","1.01B","0.41%"
"09/28/2022","6,462.00","6,496.20","6,516.50","6,433.10","973.10M","-0.53%"
"09/29/2022","6,555.00","6,462.00","6,594.70","6,462.00","846.90M","1.44%"
"09/30/2022","6,474.20","6,555.00","6,563.20","6,460.60","1.01B","-1.23%"
"10/03/2022","6,456.90","6,474.20","6,503.50","6,411.90","647.00M","-0.27%"
"10/04/2022","6,699.30","6,456.90","6,699.30","6,456.90","1.01B","3.75%"
"10/05/2022","6,815.70","6,699.30","6,819.70","6,699.30","1.06B","1.74%"
"10/06/2022","6,817.50","6,815.60","6,828.30","6,787.40","810.28M","0.03%"
"10/07/2022","6,762.80","6,817.50","6,817.50","6,762.70","688.95M","-0.80%"
"10/10/2022","6,667.80","6,762.80","6,762.80","6,646.80","604.23M","-1.40%"
"10/11/2022","6,645.00","6,667.80","6,712.50","6,645.00","747.48M","-0.34%"
"10/12/2022","6,647.50","6,645.00","6,672.00","6,633.00","723.74M","0.04%"
"10/13/2022","6,642.60","6,647.50","6,683.70","6,638.90","710.09M","-0.07%"
"10/14/2022","6,758.80","6,642.60","6,772.60","6,642.60","663.86M","1.75%"
"10/17/2022","6,664.40","6,758.90","6,758.90","6,645.20","712.25M","-1.40%"
"10/18/2022","6,779.20","6,664.40","6,790.70","6,664.40","834.30M","1.72%"
"10/19/2022","6,800.10","6,779.20","6,822.20","6,777.50","745.62M","0.31%"
"10/20/2022","6,730.70","6,800.10","6,800.10","6,702.10","900.99M","-1.02%"
"10/21/2022","6,676.80","6,730.70","6,730.70","6,667.60","741.69M","-0.80%"
"10/24/2022","6,779.40","6,676.80","6,823.30","6,676.80","683.00M","1.54%"
"10/25/2022","6,798.60","6,779.40","6,831.30","6,779.40","754.18M","0.28%"
"10/26/2022","6,810.90","6,798.60","6,843.20","6,798.60","820.96M","0.18%"
"10/27/2022","6,845.10","6,810.90","6,873.80","6,810.90","779.77M","0.50%"
"10/28/2022","6,785.70","6,845.10","6,845.10","6,776.00","784.05M","-0.87%"
"10/31/2022","6,863.50","6,785.70","6,869.20","6,785.70","1.02B","1.15%"
"11/01/2022","6,976.90","6,863.50","6,976.90","6,858.20","716.52M","1.65%"
"11/02/2022","6,986.70","6,976.90","7,011.70","6,976.90","819.43M","0.14%"
"11/03/2022","6,857.90","6,986.70","6,986.70","6,823.00","694.09M","-1.84%"
"11/04/2022","6,892.50","6,857.90","6,895.00","6,829.60","665.49M","0.50%"
"11/07/2022","6,933.70","6,892.50","6,943.40","6,892.50","688.84M","0.60%"
"11/08/2022","6,958.90","6,933.70","6,968.00","6,933.70","712.99M","0.36%"
"11/09/2022","6,999.30","6,958.90","7,012.40","6,958.90","775.52M","0.58%"
"11/10/2022","6,964.00","6,999.30","6,999.30","6,954.50","733.04M","-0.50%"
"11/11/2022","7,158.00","6,964.00","7,170.60","6,964.00","1.16B","2.79%"
"11/14/2022","7,146.30","7,158.00","7,196.50","7,146.30","978.19M","-0.16%"
"11/15/2022","7,141.60","7,146.30","7,146.30","7,114.20","937.49M","-0.07%"
"11/16/2022","7,122.20","7,141.60","7,142.50","7,102.90","742.79M","-0.27%"
"11/17/2022","7,135.70","7,122.20","7,146.90","7,107.00","744.87M","0.19%"
"11/18/2022","7,151.80","7,135.70","7,166.20","7,135.70","762.72M","0.23%"
"11/21/2022","7,139.30","7,151.80","7,174.40","7,131.70","598.63M","-0.17%"
"11/22/2022","7,181.30","7,139.30","7,194.10","7,139.30","677.04M","0.59%"
"11/23/2022","7,231.80","7,181.30","7,246.60","7,181.30","575.73M","0.70%"
"11/24/2022","7,241.80","7,231.80","7,264.60","7,231.80","593.78M","0.14%"
"11/25/2022","7,259.50","7,241.80","7,268.50","7,239.40","552.06M","0.24%"
"11/28/2022","7,229.10","7,259.50","7,259.50","7,216.00","700.99M","-0.42%"
"11/29/2022","7,253.30","7,229.10","7,253.60","7,200.90","679.98M","0.33%"
"11/30/2022","7,284.20","7,253.30","7,293.70","7,222.30","1.85B","0.43%"
"12/01/2022","7,354.40","7,284.20","7,375.20","7,284.20","715.00M","0.96%"
"12/02/2022","7,301.50","7,354.40","7,354.40","7,292.80","716.43M","-0.72%"
"12/05/2022","7,325.60","7,301.50","7,351.00","7,301.50","650.32M","0.33%"
"12/06/2022","7,291.30","7,325.60","7,325.60","7,283.00","700.93M","-0.47%"
"12/07/2022","7,229.40","7,291.30","7,291.30","7,220.60","813.38M","-0.85%"
"12/08/2022","7,175.50","7,229.40","7,229.40","7,170.00","833.78M","-0.75%"
"12/09/2022","7,213.20","7,175.50","7,217.80","7,175.50","719.10M","0.53%"
"12/12/2022","7,180.80","7,213.20","7,213.20","7,156.50","608.41M","-0.45%"
"12/13/2022","7,203.30","7,180.80","7,228.10","7,180.80","641.32M","0.31%"
"12/14/2022","7,251.30","7,203.30","7,253.50","7,203.30","731.00M","0.67%"
"12/15/2022","7,204.80","7,251.30","7,251.30","7,202.60","915.61M","-0.64%"
"12/16/2022","7,148.70","7,204.80","7,204.80","7,117.60","1.49B","-0.78%"
"12/19/2022","7,133.90","7,148.70","7,152.70","7,123.10","495.31M","-0.21%"
"12/20/2022","7,024.30","7,133.90","7,133.90","7,019.50","681.31M","-1.54%"
"12/21/2022","7,115.10","7,024.30","7,139.10","7,024.30","658.50M","1.29%"
"12/22/2022","7,152.50","7,115.10","7,167.20","7,115.10","593.89M","0.53%"
"12/23/2022","7,107.70","7,152.50","7,152.50","7,062.90","397.99M","-0.63%"
"12/28/2022","7,086.40","7,107.70","7,124.00","7,069.00","427.46M","-0.30%"
"12/29/2022","7,020.10","7,086.40","7,086.40","6,993.80","492.24M","-0.94%"
"12/30/2022","7,038.70","7,022.80","7,073.40","7,022.80","430.74M","0.26%"
"01/03/2023","6,946.20","7,038.70","7,071.30","6,905.30","420.31M","-1.31%"
"01/04/2023","7,059.20","6,946.20","7,059.20","6,946.20","549.91M","1.63%"
"01/05/2023","7,063.60","7,059.20","7,099.70","7,053.80","614.94M","0.06%"
"01/06/2023","7,109.60","7,063.60","7,116.80","7,062.00","528.60M","0.65%"
"01/09/2023","7,151.30","7,109.60","7,186.20","7,109.60","512.47M","0.59%"
"01/10/2023","7,131.00","7,151.30","7,151.90","7,124.90","519.89M","-0.28%"
"01/11/2023","7,195.30","7,131.00","7,204.00","7,131.00","518.43M","0.90%"
"01/12/2023","7,280.40","7,195.30","7,288.70","7,195.30","571.46M","1.18%"
"01/13/2023","7,328.10","7,280.40","7,357.80","7,280.40","522.91M","0.66%"
"01/16/2023","7,388.20","7,328.10","7,396.00","7,328.10","496.97M","0.82%"
"01/17/2023","7,386.30","7,388.20","7,399.50","7,364.20","574.82M","-0.03%"
"01/18/2023","7,393.40","7,386.30","7,410.80","7,376.20","642.63M","0.10%"
"01/19/2023","7,435.30","7,393.40","7,439.70","7,380.10","574.65M","0.57%"
"01/20/2023","7,452.20","7,435.30","7,457.80","7,427.30","777.29M","0.23%"
"01/23/2023","7,457.30","7,452.20","7,472.80","7,434.50","565.71M","0.07%"
"01/24/2023","7,490.40","7,457.30","7,497.80","7,453.80","624.95M","0.44%"
"01/25/2023","7,468.30","7,490.40","7,507.30","7,453.10","658.17M","-0.30%"
"01/27/2023","7,493.80","7,468.30","7,508.50","7,468.30","705.02M","0.34%"
"01/30/2023","7,481.70","7,493.80","7,505.60","7,474.30","657.15M","-0.16%"
"01/31/2023","7,476.70","7,481.70","7,516.80","7,463.70","888.13M","-0.07%"
"02/01/2023","7,501.70","7,476.70","7,537.70","7,476.70","692.79M","0.33%"
"02/02/2023","7,511.60","7,501.70","7,548.20","7,501.70","707.42M","0.13%"
"02/03/2023","7,558.10","7,511.60","7,565.00","7,496.10","981.47M","0.62%"
"02/06/2023","7,539.00","7,558.10","7,567.70","7,531.40","636.00M","-0.25%"
"02/07/2023","7,504.10","7,539.00","7,553.60","7,495.20","618.46M","-0.46%"
"02/08/2023","7,530.10","7,504.10","7,534.90","7,504.10","660.07M","0.35%"
"02/09/2023","7,490.30","7,530.10","7,530.10","7,482.00","579.92M","-0.53%"
"02/10/2023","7,433.70","7,490.30","7,490.30","7,428.80","556.65M","-0.76%"
"02/13/2023","7,417.80","7,433.70","7,433.70","7,406.00","673.46M","-0.21%"
"02/14/2023","7,430.90","7,417.80","7,476.60","7,417.80","654.89M","0.18%"
"02/15/2023","7,352.20","7,430.90","7,440.40","7,337.00","756.47M","-1.06%"
"02/16/2023","7,410.30","7,352.20","7,422.00","7,351.40","884.18M","0.79%"
"02/17/2023","7,346.80","7,410.30","7,413.60","7,346.80","801.75M","-0.86%"
"02/20/2023","7,351.50","7,346.80","7,357.50","7,331.30","606.70M","0.06%"
"02/21/2023","7,336.30","7,351.50","7,351.50","7,297.00","636.01M","-0.21%"
"02/22/2023","7,314.50","7,336.30","7,338.60","7,267.80","703.35M","-0.30%"
"02/23/2023","7,285.40","7,314.50","7,314.50","7,283.40","721.16M","-0.40%"
"02/24/2023","7,307.00","7,285.40","7,315.50","7,278.70","708.94M","0.30%"
"02/27/2023","7,224.80","7,307.00","7,307.00","7,193.40","667.14M","-1.12%"
"02/28/2023","7,258.40","7,224.80","7,273.60","7,224.80","1.00B","0.47%"
"03/01/2023","7,251.60","7,258.40","7,271.40","7,216.30","668.23M","-0.09%"
"03/02/2023","7,255.40","7,251.60","7,282.40","7,242.20","987.08M","0.05%"
"03/03/2023","7,283.60","7,255.40","7,292.50","7,255.40","565.41M","0.39%"
"03/06/2023","7,328.60","7,291.20","7,343.90","7,291.20","591.02M","0.62%"
"03/07/2023","7,364.70","7,328.60","7,370.30","7,302.90","771.10M","0.49%"
