"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","18.80","19.20","19.90","17.95","35.18K","33.71%"
"12/18/2024","14.06","14.30","14.35","14.00","1.22K","-3.70%"
"12/17/2024","14.60","14.40","14.65","14.00","22.68K","2.10%"
"12/16/2024","14.30","13.90","14.45","13.85","36.82K","1.06%"
"12/13/2024","14.15","14.30","14.35","13.90","25.18K","0.00%"
"12/12/2024","14.15","14.25","14.35","14.10","19.74K","-0.70%"
"12/11/2024","14.25","15.10","15.15","14.15","20.53K","-5.00%"
"12/10/2024","15.00","15.25","15.25","14.80","17.95K","0.00%"
"12/09/2024","15.00","15.20","15.20","14.60","23.48K","0.00%"
"12/06/2024","15.00","15.40","15.45","14.90","22.01K","-1.64%"
"12/05/2024","15.25","15.35","15.70","15.20","25.77K","-1.29%"
"12/04/2024","15.45","15.90","15.90","15.20","25.15K","-3.13%"
"12/03/2024","15.95","16.40","16.40","15.80","26.47K","-2.45%"
"12/02/2024","16.35","16.45","16.70","15.95","28.54K","0.31%"
"11/29/2024","16.30","16.70","17.00","16.15","22.73K","-2.69%"
"11/28/2024","16.75","17.15","17.20","16.60","11.12K","-2.90%"
"11/27/2024","17.25","16.90","17.45","16.85","22.18K","2.68%"
"11/26/2024","16.80","17.00","17.45","16.55","28.45K","0.90%"
"11/25/2024","16.65","17.65","17.65","16.60","20.68K","-5.67%"
"11/22/2024","17.65","18.40","18.45","17.25","20.49K","-2.49%"
"11/21/2024","18.10","18.60","18.95","18.00","32.11K","-3.83%"
"11/20/2024","18.82","18.65","18.80","18.05","0.29K","-2.74%"
"11/19/2024","19.35","17.35","21.75","17.15","27.63K","10.26%"
"11/18/2024","17.55","17.15","18.20","16.70","21.94K","2.33%"
"11/15/2024","17.15","16.90","17.85","16.90","24.17K","3.31%"
"11/14/2024","16.60","16.75","17.10","16.55","25.19K","-3.49%"
"11/13/2024","17.20","16.90","17.75","16.80","31.27K","1.47%"
"11/12/2024","16.95","16.15","17.20","15.85","27.53K","4.63%"
"11/11/2024","16.20","16.50","16.50","15.95","15.84K","-2.11%"
"11/08/2024","16.55","16.15","16.70","15.95","23.91K","2.48%"
"11/07/2024","16.15","16.80","16.90","16.05","22.49K","-3.87%"
"11/06/2024","16.80","17.50","17.60","15.85","65.97K","-4.55%"
"11/05/2024","17.60","19.20","19.20","17.40","26.33K","-6.63%"
"11/04/2024","18.85","19.10","19.50","18.50","23.99K","-1.57%"
"11/01/2024","19.15","19.65","19.95","18.90","26.28K","-2.79%"
"10/31/2024","19.70","18.75","20.00","18.60","39.77K","7.36%"
"10/30/2024","18.35","17.85","18.70","17.85","19.40K","1.94%"
"10/29/2024","18.00","18.15","18.15","17.70","19.24K","0.00%"
"10/28/2024","18.00","18.35","18.50","17.90","19.63K","-1.64%"
"10/25/2024","18.30","18.45","19.10","18.00","17.04K","-1.88%"
"10/24/2024","18.65","18.95","19.00","18.05","12.46K","1.36%"
"10/23/2024","18.40","17.90","19.05","17.85","19.45K","0.55%"
"10/22/2024","18.30","18.10","18.50","17.85","18.09K","0.55%"
"10/21/2024","18.20","17.40","18.25","17.35","24.57K","3.70%"
"10/18/2024","17.55","18.15","18.15","17.40","17.91K","-2.77%"
"10/17/2024","18.05","18.70","18.95","17.95","22.60K","-6.72%"
"10/16/2024","19.35","18.25","19.30","18.25","0.51K","5.45%"
